,a1,a2,b1,b2,c1,c2,d1,d2,e1,e2,a1_similar_time,a1_sensor1,a1_sensor2,a1_sensor3,a1_sensor4,a1_x,a1_y,a1_f,a2_similar_time,a2_sensor1,a2_sensor2,a2_sensor3,a2_sensor4,a2_x,a2_y,a2_f,b1_similar_time,b1_sensor1,b1_sensor2,b1_sensor3,b1_sensor4,b1_x,b1_y,b1_f,b2_similar_time,b2_sensor1,b2_sensor2,b2_sensor3,b2_sensor4,b2_x,b2_y,b2_f,c1_similar_time,c1_sensor1,c1_sensor2,c1_sensor3,c1_sensor4,c1_x,c1_y,c1_f,c2_similar_time,c2_sensor1,c2_sensor2,c2_sensor3,c2_sensor4,c2_x,c2_y,c2_f,d1_similar_time,d1_sensor1,d1_sensor2,d1_sensor3,d1_sensor4,d1_x,d1_y,d1_f,d2_similar_time,d2_sensor1,d2_sensor2,d2_sensor3,d2_sensor4,d2_x,d2_y,d2_f,e1_similar_time,e1_sensor1,e1_sensor2,e1_sensor3,e1_sensor4,e1_x,e1_y,e1_f,e2_similar_time,e2_sensor1,e2_sensor2,e2_sensor3,e2_sensor4,e2_x,e2_y,e2_f
0,61707.113,61708.6295970945,61708.646262825,61709.6461961872,61709.6628329177,61710.0794968931,61710.0961703731,61711.496061200196,61711.5128648915,61712.479314648495,61707.115925,16.4956,17.6184,9.65979,9.61123,0.503024,-4.17055,53.385,61708.619925,15.032,16.5673,10.866,11.4613,0.987741,-2.57905,53.9266,61708.645925,14.9628,16.4642,10.7835,11.5661,1.0618100000000001,-2.53199,53.7766,61709.641924999996,14.765,16.2376,11.1134,11.8104,1.00581,-2.24716,53.9264,61709.660925,14.7551,16.2273,11.1134,11.8453,1.0215299999999998,-2.23123,53.9411,61710.088925,14.7353,16.0933,11.3402,11.9035,0.8883030000000001,-2.10411,54.0723,61710.088925,14.7353,16.0933,11.3402,11.9035,0.8883030000000001,-2.10411,54.0723,61711.502925,14.6364,15.8976,11.433,12.0082,0.850567,-1.97112,53.9752,61711.502925,14.6364,15.8976,11.433,12.0082,0.850567,-1.97112,53.9752,61712.476925,14.6166,15.9182,11.2784,12.0431,0.9591790000000001,-2.00905,53.8563
1,61712.494,61713.6106003208,61713.6272415589,61714.6271775303,61714.6438306483,61715.160516768796,61715.1771647963,61715.9937572585,61716.010555454,61716.8103675016,61712.485925,14.6166,15.9182,11.2784,12.0431,0.9591790000000001,-2.00905,53.8563,61713.616925,14.6166,15.64,11.6082,11.9966,0.655243,-1.85248,53.8615,61713.622925,14.6463,15.6812,11.5876,12.0315,0.68529,-1.8652900000000001,53.9466,61714.627925,14.32,15.6915,11.6392,12.4155,0.993159,-1.65265,54.0661,61714.645925,14.32,15.6915,11.6392,12.4155,0.993159,-1.65265,54.0661,61715.256925,14.4386,15.7018,11.6082,12.3573,0.9297639999999999,-1.7118900000000001,54.106,61715.175925,14.3991,15.6194,11.6186,12.2991,0.8810790000000001,-1.6966700000000001,53.9361,61716.002925,14.1222,15.5885,11.6804,12.5667,1.09004,-1.51883,53.9578,61716.002925,14.1222,15.5885,11.6804,12.5667,1.09004,-1.51883,53.9578,61716.802924999996,14.0628,15.3206,11.8144,12.7529,1.0177100000000001,-1.33902,53.9508
2,61716.826,61717.9426095916,61717.959241559,61718.9592042266,61718.9758282169,61719.5925223768,61719.6091649584,61720.2091313075,61720.2261120907,61720.6590915375,61716.820925,14.0727,15.2794,11.8557,12.7762,0.985101,-1.3115700000000001,53.983999999999995,61717.932925,14.0727,14.9188,12.2577,12.845999999999998,0.662875,-1.0780399999999999,54.0952,61717.958925,13.9936,14.9085,12.3093,12.8344,0.666085,-1.04313,54.0457,61718.949925,13.8749,15.0836,12.0309,12.9274,0.976142,-1.1128799999999999,53.9169,61718.978925,13.9046,15.1248,12.0412,13.0089,1.0114299999999998,-1.10374,54.0796,61719.688925,13.9046,14.8261,12.1959,12.9856,0.79352,-0.987482,53.9122,61719.605924999996,13.8453,14.8055,12.2784,12.9973,0.778428,-0.938808,53.9263,61720.212925,13.954,14.9188,12.1031,13.0903,0.902593,-1.0208,54.0663,61720.228925,13.8551,14.8776,12.134,13.0903,0.9168209999999999,-0.975317,53.9571,61720.652925,13.8156,14.8467,12.1546,13.1136,0.92251,-0.943992,53.9305
3,61720.68,61722.1965867358,61722.2132336972,61723.213123876005,61723.22982846,61723.7464725629,61723.763145993,61724.7630663874,61724.7802688392,61725.146373393305,61720.678925,13.8848,14.8879,12.2062,13.1718,0.9088870000000001,-0.94035,54.1507,61722.199925,13.9837,15.0115,12.0722,12.9391,0.8770819999999999,-1.10653,54.0065,61722.213925,13.9442,15.0527,12.0928,13.0089,0.9356469999999999,-1.0800299999999998,54.0986,61723.205925,13.5387,14.6921,12.3918,13.5441,1.06423,-0.635512,54.1667,61723.219925,13.5387,14.7436,12.2268,13.5092,1.1511799999999999,-0.707059,54.0184,61723.743925,13.7068,15.0527,12.0,13.23,1.19278,-0.9806219999999999,53.9895,61723.761925,13.776,15.0115,12.0515,13.2765,1.13667,-0.958915,54.1156,61724.754925,13.7859,14.9909,12.0722,13.2998,1.1231200000000001,-0.943198,54.1488,61724.773925,13.7661,14.96,12.1443,13.3463,1.10476,-0.895149,54.2168,61725.136925,13.7464,14.857000000000001,12.1753,13.357999999999999,1.05904,-0.8506549999999999,54.1366
4,61725.193,61726.5095969978,61726.5262744804,61727.5262068045,61727.5428492085,61728.1594860014,61728.176136965296,61729.7760252799,61729.7929211394,61730.0760034778,61725.187925,13.7068,14.8879,12.1856,13.4278,1.1175899999999999,-0.824968,54.208,61726.514924999996,13.7167,14.7952,12.1237,13.2998,1.04502,-0.858901,53.9354,61726.532925,13.6969,14.7745,12.0928,13.3812,1.0965200000000002,-0.833462,53.9455,61727.533924999996,13.3903,14.6921,11.8041,13.8816,1.57121,-0.6686350000000001,53.7682,61727.533924999996,13.3903,14.6921,11.8041,13.8816,1.57121,-0.6686350000000001,53.7682,61728.154925,13.5189,14.5788,12.0103,13.7071,1.2806,-0.6634760000000001,53.8151,61728.182925,13.5486,14.5994,12.0,13.7071,1.28023,-0.679858,53.855,61729.776925,13.5486,14.8261,11.8557,13.6721,1.43498,-0.792215,53.9024,61729.796925,13.5782,14.7952,11.8144,13.7071,1.4424,-0.793743,53.8949,61730.077925,13.5486,14.7952,11.8454,13.6489,1.4163299999999999,-0.793909,53.838
5,61730.092,61731.1086344269,61731.125263507594,61732.7251570904,61732.741791972396,61733.158471752395,61733.175139914296,61734.1750591428,61734.19183342889,61734.808354777,61730.092925,13.5189,14.7436,11.8763,13.6256,1.3829,-0.770209,53.7644,61731.109925,13.776,15.0527,11.6598,13.2183,1.31977,-1.10338,53.7069,61731.129925,13.776,15.0321,11.6186,13.2183,1.33091,-1.11043,53.6451,61732.730924999996,13.2024,14.6612,11.9278,14.1725,1.7156900000000002,-0.490142,53.964,61732.834925,13.242,14.6303,11.8866,14.0561,1.6528,-0.537838,53.815,61733.252925,13.2222,14.6818,11.9072,13.9747,1.6394,-0.5639430000000001,53.7859,61733.170925,13.2321,14.7333,11.8866,14.0678,1.70734,-0.559466,53.9198,61734.179925,13.331,14.7436,12.0,13.963,1.56172,-0.586148,54.0377,61734.185925,13.2914,14.6921,12.0,13.9165,1.53857,-0.5752520000000001,53.9001,61734.814925,13.3211,14.8776,11.7629,13.8234,1.6812200000000002,-0.728567,53.785
6,61734.825,61736.34160304529,61736.3582220729,61737.3581674148,61737.374792393195,61737.891487151595,61737.9080913348,61738.7080544887,61738.72479599989,61739.291354752,61734.919925,13.3508,14.7952,11.8866,13.8467,1.5796700000000001,-0.6716850000000001,53.8792,61736.337925,13.1728,14.6612,12.0,14.0445,1.6393,-0.49820299999999995,53.8785,61736.359925,13.0937,14.6715,12.0309,14.0561,1.6726599999999998,-0.46742399999999995,53.8522,61737.449925,13.2123,14.6509,12.0722,14.1143,1.60996,-0.46534200000000003,54.0497,61737.378925,13.1629,14.5788,12.0619,14.0678,1.58796,-0.448863,53.8713,61737.894925,13.1431,14.6303,11.9588,14.0678,1.6711,-0.487051,53.7999,61737.999925,13.1629,14.6818,11.9794,14.0561,1.6683700000000001,-0.503671,53.8802,61738.706925,13.2519,14.6715,12.0412,14.0678,1.59448,-0.5037,54.0324,61738.731925,13.1431,14.7024,11.9691,14.0678,1.6972200000000002,-0.503512,53.8824,61739.294925,13.1629,14.6097,12.0,14.1143,1.6521299999999999,-0.461599,53.8869
7,61739.31,61740.5266103366,61740.543272697294,61742.1430481918,61742.159811926,61742.7764512782,61742.793106572,61743.79305406789,61743.809870727,61744.409679386095,61739.408924999996,13.1332,14.6097,12.0206,14.1027,1.65156,-0.451014,53.8662,61740.524925,13.0244,14.6612,11.8557,14.1376,1.82506,-0.472923,53.6789,61740.548925,13.0244,14.6612,11.8557,14.1376,1.82506,-0.472923,53.6789,61742.144925,12.8464,14.5582,11.8866,14.3936,1.96458,-0.31418,53.6848,61742.249925,12.9058,14.5582,12.0,14.5099,1.92795,-0.26513200000000003,53.9739,61742.766924999996,12.8761,14.62,11.9588,14.4983,1.9848,-0.28887199999999996,53.9531,61742.791925,12.8464,14.5685,11.9588,14.4983,1.97765,-0.266705,53.872,61743.789925,12.797,14.5376,11.9897,14.5681,2.00354,-0.21619699999999997,53.8923,61743.805925,12.797,14.5376,11.9897,14.5681,2.00354,-0.21619699999999997,53.8923,61744.408924999996,12.797,14.6406,11.9485,14.4983,2.03838,-0.275823,53.8843
8,61744.425,61745.8416390279,61745.8583107092,61746.258257232505,61746.2749448462,61746.8915572745,61746.908202614904,61747.9081316971,61747.9248922049,61748.9413893038,61744.420925,12.8168,14.6097,11.9485,14.5099,2.0202400000000003,-0.269485,53.8848,61745.832925,12.6684,14.9703,11.866,14.347000000000001,2.2204200000000003,-0.397122,53.8517,61745.855924999996,12.6387,14.9188,11.7732,14.3587,2.26558,-0.398312,53.6894,61746.248925,11.7388,14.0945,12.8041,15.4292,2.30308,0.665828,54.0666,61746.276925,11.6992,14.0842,12.9381,15.5455,2.2999099999999997,0.7463569999999999,54.2671,61746.889924999996,9.35544,10.4782,16.1856,18.9059,1.7492299999999998,4.1669,54.9251,61746.904925,9.25654,10.2927,16.4639,19.1505,1.68714,4.3684,55.1637,61747.912925,8.43572,8.72667,18.0151,18.8651,0.527814,5.47285,54.0426,61748.010925,8.376380000000001,8.77818,17.892,18.8141,0.614509,5.44505,53.8607,61748.944925,8.59395,8.4897,17.9638,18.967,0.41607299999999997,5.51163,54.0145
9,61748.958,61750.274596948,61750.2912443147,61751.2912035626,61751.3078338093,61751.9244851411,61751.9411252133,61753.1410637128,61753.157887666195,61753.4910419667,61748.960925,8.57417,8.44848,17.8818,19.018,0.468504,5.52937,53.9224,61750.265925,8.623619999999999,8.479389999999999,17.7075,19.018,0.541663,5.46805,53.8285,61750.286925,8.633510000000001,8.5103,17.7793,19.0486,0.530881,5.47065,53.9716,61751.282925,8.18848,8.27333,17.892,19.5989,0.830233,5.84654,53.9528,61751.300925,8.18848,8.27333,17.892,19.5989,0.830233,5.84654,53.9528,61751.917925,8.01047,8.21152,18.1176,19.9149,0.9207989999999999,6.03005,54.2545,61751.941925,8.05003,8.201210000000001,18.0663,19.8639,0.899175,6.00178,54.1815,61753.134925,7.970910000000001,8.1497,18.0663,19.8537,0.9095700000000001,6.05085,54.0407,61753.151925,7.99069,8.08788,18.1074,19.813,0.8346379999999999,6.06728,53.9989,61753.483925,7.88191,8.077580000000001,18.1689,19.9556,0.9163620000000001,6.147390000000001,54.083999999999996
10,61753.508,61754.5246274879,61754.5412794899,61755.541191551805,61755.557850748504,61756.0744921144,61756.0911648618,61757.6910574564,61757.7078232324,61758.0410395851,61753.508925,7.88191,8.077580000000001,18.1689,19.9556,0.9163620000000001,6.147390000000001,54.083999999999996,61754.524925,8.000580000000001,8.098180000000001,18.1894,19.8537,0.813574,6.079680000000001,54.1419,61754.534925,7.94125,8.098180000000001,18.1381,19.8639,0.870964,6.09605,54.0415,61755.544925,7.970910000000001,8.1703,18.0869,19.8537,0.9089290000000001,6.04622,54.0818,61755.556925,7.9808,8.201210000000001,18.0253,19.7722,0.911114,6.0065800000000005,53.9795,61756.071925,7.94125,8.25273,17.9331,19.976,1.08795,6.02048,54.103,61756.094925,7.931360000000001,8.24242,17.9946,19.9454,1.0449899999999999,6.03346,54.1138,61757.681925,7.8918,8.26303,18.0561,20.0168,1.0750600000000001,6.06278,54.2277,61757.701925,7.82257,8.28364,18.0458,20.0066,1.1179299999999999,6.07832,54.1586,61758.045925,8.000580000000001,8.18061,18.0151,19.9454,0.974476,6.033980000000001,54.1417
11,61758.057,61759.0736505868,61759.0903262706,61760.0902580119,61760.1068941096,61760.6235753173,61760.6401841358,61761.6401355065,61761.656893582796,61761.97345659,61758.051925,7.911580000000001,8.1703,18.0356,19.9047,0.984699,6.06928,54.0221,61759.067924999996,7.970910000000001,8.29394,17.9125,20.0779,1.14662,6.0065,54.2553,61759.083925,7.94125,8.29394,17.9843,20.0168,1.09943,6.01975,54.2363,61760.080925,7.911580000000001,8.28364,17.9023,20.0677,1.17119,6.03011,54.1652,61760.104925,7.911580000000001,8.28364,17.9536,20.0168,1.124,6.0301599999999995,54.1656,61760.622925,7.9610199999999995,8.26303,17.9946,19.8537,0.999194,5.99869,54.0723,61760.643925,7.9610199999999995,8.29394,17.9843,19.8333,1.0088,5.98159,54.0726,61761.643925,7.901689999999999,8.39697,17.892,20.0474,1.22175,5.98493,54.2381,61761.653925,7.901689999999999,8.30424,17.892,20.0168,1.16757,6.0158,54.1148,61761.971925,7.88191,8.38667,17.8408,19.9353,1.20236,5.96936,54.0446
12,61761.99,61763.2066497451,61763.2232603623,61764.6231774805,61764.639828216896,61765.0564878624,61765.073135101295,61766.073080393195,61766.0899260024,61766.406376529296,61762.081925,7.9610199999999995,8.34545,17.851,19.8945,1.12295,5.94956,54.052,61763.210925,7.95113,8.35576,17.8408,19.9047,1.14173,5.94939,54.0523,61763.220925,7.9808,8.33515,17.8613,19.9353,1.12189,5.95443,54.1125,61764.628925,7.99069,8.30424,17.9023,19.9251,1.07918,5.96771,54.1223,61764.630925,7.911580000000001,8.23212,17.9125,19.8639,1.0533700000000001,6.018,53.9202,61765.058925,7.9610199999999995,8.28364,17.8408,19.8231,1.06893,5.95988,53.9086,61765.073925,7.9610199999999995,8.28364,17.8408,19.8231,1.06893,5.95988,53.9086,61766.073925,7.95113,8.38667,17.8613,19.976,1.17686,5.952780000000001,54.1751,61766.083925,7.901689999999999,8.33515,17.892,19.9149,1.13625,5.98684,54.0437,61766.404925,7.901689999999999,8.27333,17.851,19.9149,1.12878,6.00403,53.9409
